,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
15095,"MULTILINESTRING ((-73.96077672599854 40.74108137876371, -73.96089671374213 40.74033179951272))",272807,275.112191748,4,CENTER BL,57 AV,54 AV,OFF,I,I,2,2,Greenway,Greenway
15098,"MULTILINESTRING ((-73.95848665939907 40.75339875560063, -73.95856530684237 40.7535188321226))",272979,48.8740080382,1,SOUTH LOOP RD,WEST LOOP RD,EAST LOOP RD,ON,II,II,2,2,Buffered,Buffered
15147,"MULTILINESTRING ((-73.99373479457617 40.72091647931236, -73.99345880582243 40.72161256056205))",275300,264.891383888,1,BOWERY,SPRING ST,STANTON ST,ON,II,II,R,1,Standard,
15166,"MULTILINESTRING ((-73.99992106330963 40.69167430257899, -74.00068439003799 40.691897815108064))",275388,226.804861204,3,ATLANTIC AV,BROOKLYN BRIDGE PARK GREENWAY,COLUMBIA ST,ON,I,I,2,2,Protected Path,Protected Path
15173,"MULTILINESTRING ((-73.89336041775869 40.83015253045223, -73.89286323912118 40.83176619753396))",275790,603.803123365,2,INTERVALE AV,LOUIS NINE BLVD,FREEMAN ST,ON,III,III,R,1,Bike-Friendly Parking,
15236,"MULTILINESTRING ((-73.92813819578866 40.83877105311574, -73.92834693774331 40.839184164696334))",278192,161.214167411,2,WEST 167 STREET,W 168 ST,SEDGWICK AVE,ON,III,III,2,2,Sharrows,Sharrows
15347,"MULTILINESTRING ((-73.95594546921949 40.79927723479246, -73.95574433321946 40.79924633275165))",282152,56.8148278791,1,C P N POWELL APPR,CENTRAL PARK S,CENTRAL PARK N,ON,I,I,L,1,,Greenway
15371,"MULTILINESTRING ((-73.81722159555567 40.588749088577494, -73.81702527137949 40.588640712189324))",283413,67.3222749511,4,CROSS BAY BR BIKE PATH,BEACH 94 ST,BEACH 92 ST,ON,I,I,2,2,Sidewalk,Sidewalk
15400,"MULTILINESTRING ((-74.07615174213262 40.63430040877625, -74.07620670677076 40.634205515245924))",284774,37.7885839037,5,VAN DUZER ST EXT,ST JULIAN PL,BAY ST,ON,II,II,L,1,,Buffered
15482,"MULTILINESTRING ((-73.8563718690481 40.85754992885996, -73.85627803922183 40.85766250044313))",286871,48.5372013557,2,ESPLANADE,WILLIAMSBRIDGE RD,PELHAM PKWY N,ON,III,III,R,1,Signed Route,
15507,"MULTILINESTRING ((-74.01628226974428 40.71455169868041, -74.01616668560595 40.71469791733305))",287895,62.1659127748,1,NORTH END AVE,NORTH COVE,VESEY ST,ON,III,III,R,1,Sharrows,
15533,"MULTILINESTRING ((-74.01678105271938 40.713998119317026, -74.01638618424158 40.71452062983553))",287918,219.595557201,1,NORTH END AV,BATTERY PARK CITY GREENWAY,VESEY ST,ON,III,III,2,2,Sharrows,Sharrows
15548,"MULTILINESTRING ((-73.94623305231087 40.75378498001243, -73.94369877992885 40.75267277298084))",289320,810.681150215,4,QUEENSBRIDGE BABY PARK,21 ST,VERNON BLVD,OFF,I,I,2,2,Greenway,Greenway
15626,"MULTILINESTRING ((-73.95888401858285 40.784226334134594, -73.95856810052638 40.7840834437771))",292252,101.80509941,1,C P E 90 APPR,5 AV,EAST DR,OFF,I,I,2,2,Greenway,Greenway
15627,"MULTILINESTRING ((-74.07516552123646 40.6423746303679, -74.07467539964362 40.64251940547366))",292452,145.887491165,5,FERRY TERMINAL RAMP C,FERRY TERMINAL,RICHMOND TER,ON,I,I,2,2,Protected Path,Protected Path
15630,"MULTILINESTRING ((-74.01100637147701 40.67222797872954, -74.01173329192078 40.67269448181159))",292496,263.717603832,3,BEARD ST,VAN BRUNT ST,OSTEGO ST,ON,II,II,2,2,Curbside,Standard
15632,"MULTILINESTRING ((-74.01100637147701 40.67222797872954, -74.00982455709726 40.67193240065018))",292501,345.065539807,3,HALLECK ST,BEARD ST,COLUMBIA ST,ON,II,II,2,2,Curbside,Curbside
15634,"MULTILINESTRING ((-74.16108950970512 40.56545280982467, -74.1611164725974 40.565648034106346, -74.16114908860615 40.56569945345092, -74.1612742958943 40.565796489575476, -74.16204302647574 40.56637296133853, -74.16208577129653 40.5664777376371, -74.16204852437843 40.56657881396685, -74.16204851975604 40.56657690845905, -74.16176647248467 40.566739326059086, -74.16138200761077 40.5669285731046, -74.16096004939646 40.567117870501264, -74.16042812846916 40.56731494473078, -74.16043062835958 40.56731494123931, -74.16000848120157 40.56742799141411, -74.15939885152349 40.56753367559504, -74.15903402855194 40.567578021602934, -74.15875406410503 40.56757078411535, -74.15837647102896 40.5675007797221, -74.15837896866543 40.567499822620874, -74.15838146512304 40.567498866421744, -74.15834084903658 40.567484916528784, -74.15829913014261 40.56747300603262, -74.15825648450873 40.5674631860196, -74.15821309408301 40.56745549766215, -74.15816914079181 40.567449973128, -74.15812481008471 40.56744663647535, -74.15808028856641 40.56744550095483, -74.15803576400309 40.56744657171112, -74.15799142531837 40.5674498439817))",293222,1746.11167179,5,BROOKFIELD PARK GWY,BROOKFIELD PARK GWY ENTRY DRIVE,BROOKFIELD PARK GWY,OFF,I,I,2,2,Dirt Path,Dirt Path
15648,"MULTILINESTRING ((-73.87845026132767 40.649346796945046, -73.87774634652311 40.64840707028653))",293034,394.170670864,3,VAN SICLEN AVE,VANDALIA AVE,SEAVIEW AVE,ON,II,II,2,2,Standard,Standard
15650,"MULTILINESTRING ((-74.16187740369966 40.563148947097474, -74.16197166157319 40.56336897052251))",293039,84.3297077265,5,BROOKFIELD PARK DRIVEWAY,ARTHUR KILL RD,BROOKFIELD PARK GWY,OFF,L,L,2,0,Link,Link
15779,"MULTILINESTRING ((-73.91533764922431 40.785951487289175, -73.91547871198702 40.78597953339317, -73.91574859374708 40.785740519966645, -73.91576947996025 40.78571209829386, -73.91578995763481 40.785683507024316, -73.91581002558519 40.785654747057926, -73.91582968025189 40.78562582289483, -73.91584892044486 40.78559673903679, -73.9158677437928 40.785567497283395, -73.91588614673736 40.78553810123416, -73.91590357913356 40.785514517211624, -73.9159220049545 40.78549137425638, -73.9159414063988 40.78546869576815, -73.91596176329475 40.785446506045126, -73.91598305191762 40.78542482848262, -73.91600525209925 40.785403684677476, -73.9160283401151 40.78538309802492, -73.91604520823402 40.78536911021529, -73.91606309782146 40.785355875966516, -73.91608195195575 40.78534343846071, -73.91610170897874 40.78533183907568, -73.91612230486861 40.785321114684876, -73.91614367086711 40.78531130035738, -73.91616573821833 40.785302429361316, -73.91619051426409 40.78529135770386, -73.9162146704631 40.785279521965045, -73.9162381676938 40.78526694192781, -73.91626096446304 40.785253639174506, -73.9162830240154 40.78523963619138, -73.91630430722638 40.7852249554629, -73.91632477970467 40.78520962397967, -73.91646972792059 40.78510680088851, -73.91648704154363 40.7850926467438, -73.91650311932956 40.78507767314507, -73.9165178936702 40.785061943079015, -73.91653130406239 40.78504552223889, -73.91654329473876 40.785028479022884, -73.9165538146688 40.78501088363361, -73.9165628211118 40.78499280898126, -73.9165702760617 40.784974331581175, -73.91657614862311 40.78495552615304, -73.91658041500118 40.78493647372498, -73.91658305733057 40.7849172508269, -73.91658406484856 40.78489793849621, -73.91658343153246 40.78487861687333, -73.9165811620212 40.78485936700664, -73.91657726450988 40.78484026814624, -73.91654796378295 40.78470896728968, -73.91654804622206 40.784698961874696, -73.91654891055121 40.78468897773742, -73.91655055554129 40.78467904999647, -73.91655297403851 40.78466921466676, -73.91655615889013 40.78465950686267, -73.9165600970234 40.784649958992645, -73.91656477536092 40.7846406070672, -73.9165701772768 40.78463148259189, -73.91657628377355 40.78462261887133, -73.91659062415538 40.78460423740364, -73.91660441985618 40.784585617807544, -73.9166176649435 40.7845667672829, -73.916630352296 40.7845476966308, -73.91664247479432 40.78452841485123, -73.91665402650177 40.784508932746185, -73.91666500266979 40.78448925841689, -73.91667704556458 40.784474875305534, -73.91668981659663 40.78446085922352, -73.91670329441378 40.784447231767174, -73.91671745885085 40.78443401273273, -73.91673228974277 40.78442122191638, -73.91674776336919 40.78440888001228, -73.91676385719907 40.78439700411342, -73.91716990339216 40.78409527377217))",296522,908.346907498,4,RALPH DEMARCO PARK,DITMARS BLVD,20TH AVE,OFF,I,I,2,2,Greenway,Greenway
15794,"MULTILINESTRING ((-73.88146710674496 40.83515247237474, -73.88133609102212 40.835106497962116))",296646,39.936929852,2,E 174 ST BR,HOE AV,METCALF AV,ON,II,II,R,1,Standard,
15812,"MULTILINESTRING ((-73.88962787543689 40.684236454107044, -73.88961781616702 40.6842426228886, -73.88960727269641 40.684248304926854, -73.88959628764519 40.684253479550755, -73.88958490126905 40.684258125186496, -73.88957315972962 40.684262225668874, -73.88956110682558 40.68426576302967, -73.88954878871111 40.684268725606316, -73.88953625272485 40.68427110083697, -73.88952354856389 40.6842728806647, -73.88951072237502 40.68427405792955, -73.88949782621675 40.68427462727843, -73.88948490859283 40.68427458695689, -73.88947201800404 40.68427393701152, -73.88945920649549 40.6842726801938, -73.88944652137596 40.684270821952374, -73.88943401113576 40.68426836863741, -73.88942172544374 40.684265329301894, -73.8894097104136 40.68426171659738, -73.88939801334084 40.68425754407717, -73.88938667796884 40.68425282709212, -73.88937574803515 40.684247584595184, -73.88936526727414 40.684241837340394))",296710,78.8210968595,3,HIGHLAND BLVD GREENWAY,JAMAICA AV,HIGHLAND BLVD,OFF,I,I,L,1,,Greenway
15816,"MULTILINESTRING ((-74.12808069420777 40.55651227917236, -74.12785856600779 40.5564978985211, -74.12764259252718 40.55627512329182, -74.12763898735437 40.55627049408803, -74.12763499174666 40.5562660571303, -74.1276306210856 40.55626182951145, -74.12762589548034 40.556257831020666, -74.12762083503321 40.556254077845075, -74.12761546220977 40.55625058706962, -74.12760979947188 40.55624737397838, -74.12760387045695 40.55624445115228, -74.12759770353034 40.55624183386885, -74.12759132350146 40.55623953020513, -74.12758475873042 40.55623755273705, -74.12757803756865 40.55623590953772, -74.12757118954488 40.55623460687809, -74.12756424300534 40.556233650129755, -74.12755722983842 40.55623304466047, -74.12753951641339 40.556231910757894, -74.12752193826044 40.55622989328557, -74.12750457095868 40.55622700026437, -74.12748749009894 40.556223246018966, -74.12747076773199 40.55621864577843, -74.12745447827659 40.55621321837139, -74.12743868907945 40.556206988938115, -74.12742346984854 40.556199982616135, -74.12740888558109 40.556192230852005, -74.12739499891639 40.55618376689608, -74.12738187013565 40.55617462580219, -74.12705423045793 40.555874775599044, -74.1270460542377 40.555865403855876, -74.1270387108212 40.55585563856119, -74.12703223217167 40.55584552470616, -74.1270266467052 40.555835104584254, -74.12702198048501 40.555824424994185, -74.12701825249037 40.555813532742455, -74.12701548052146 40.555802475537405, -74.12701367647873 40.55579130289488, -74.12701284635726 40.55578006343676, -74.12701299615593 40.55576880758596, -74.12701412478417 40.55575758307162, -74.12701622643412 40.55574644032961, -74.12701929175414 40.55573542889913, -74.12702397769908 40.555729162353245, -74.1270280634105 40.55572265603035, -74.12703153006125 40.55571594327087, -74.12703435764541 40.55570905831703, -74.12703653206364 40.555702037205506, -74.12703804393945 40.555694915967806, -74.1270388838944 40.555687729734885, -74.1270390472781 40.55568051633403, -74.12703853416099 40.5556733126867, -74.12703734815364 40.55566615481008, -74.1270354928702 40.555659080522204, -74.12703297900534 40.555652125832324, -74.12702982079394 40.55564532584515, -74.12702603246906 40.55563871476493, -74.12702163416887 40.55563232768988, -74.1270166483877 40.55562619701409, -74.12701109997931 40.5556203542283, -74.12700501851506 40.55561482811674, -74.12699843474864 40.555609648362555, -74.12687858317985 40.555500059738826, -74.1266459685651 40.555308842861834, -74.12640600169603 40.55512298633645, -74.12615889304583 40.55494265648313, -74.12590486369002 40.554768011506425, -74.12564413823272 40.55459920690604, -74.12537694597886 40.55443639097325, -74.12510352330239 40.554279708390446, -74.12387641408691 40.55355718959899, -74.12359272331382 40.55336334343841, -74.1233286451547 40.55315399725744, -74.1230856291601 40.55293030141111, -74.12286501162457 40.55269348562295, -74.12266800613223 40.55244485268805, -74.12249569527728 40.5521857685724, -74.12234902593828 40.551917657911694, -74.12226946646521 40.551731034564654, -74.1221924787955 40.55154378525889, -74.12211807002934 40.55135592980354, -74.12204624844894 40.551167488906955, -74.12197702233772 40.55097848417769, -74.12191039879511 40.550788935424535, -74.12184638610549 40.550598865156346))",296736,2881.48235774,5,GREAT KILLS PARK GREENWAY,HYLAN BLVD,HYLAN BLVD,OFF,I,I,2,2,Greenway,Greenway
15829,"MULTILINESTRING ((-74.10071271681448 40.56104934176924, -74.10039317259113 40.560873601987346, -74.10036825424768 40.56085099534528, -74.10034443890227 40.56082770783693, -74.10032175730127 40.560803770954536, -74.10030024137312 40.56077921708981, -74.10027991714087 40.560754077739126, -74.10026081535732 40.560728388897274, -74.10024295850432 40.560702182964235, -74.10022575480298 40.56068239540856, -74.10020671654895 40.560663609935425, -74.10018594543584 40.56064592551299, -74.10016355023043 40.560629433899265, -74.10013964795768 40.56061422234223, -74.10011436507727 40.56060037087751, -74.10008783275936 40.56058795143206, -74.10004251277131 40.5605584428529, -74.09999574605781 40.56053027819983, -74.09994759998222 40.5605034988367, -74.09989814662669 40.560478143421655, -74.09984745807003 40.56045424881199, -74.09979560757019 40.560431850963425, -74.09974267192165 40.560410982226664, -74.0996825083354 40.560388107963476, -74.0996243666804 40.560362371843944, -74.09956848090314 40.56033387722886, -74.0995150743396 40.56030273919529, -74.0994643632533 40.56026908183206, -74.09941654975488 40.56023304094718, -74.09937182888393 40.56019476226076, -74.09933037679596 40.560154397812944, -74.09929236257955 40.56011211225732, -74.09914466231322 40.55994640795843, -74.09913821581975 40.55994026563087, -74.09913122317884 40.55993448218377, -74.09912371985128 40.55992908370162, -74.09911574011974 40.559924098071136, -74.09910732534478 40.55991954867013, -74.09909851452248 40.559915457077565, -74.09908935137076 40.55991184396762, -74.09907988078406 40.559908727312106, -74.09907014765156 40.55990612148058, -74.09906020040184 40.559904039038614, -74.09905008746084 40.55990249075073, -74.0990398572505 40.559901484679806, -74.09902955936539 40.55990102348468, -74.09901924458359 40.5599011116241, -74.0990089636751 40.55990174815387, -74.09899876504441 40.55990292943009, -74.09898869945489 40.559904650005954, -74.0989788164852 40.55990690173398, -74.09896916216643 40.55990967286773, -74.09895978488977 40.55991295075817, -74.09895073067982 40.55991671915629, -74.09894204201616 40.55992096001504, -74.09893376255523 40.55992565258474, -74.0989259324073 40.559930773417335, -74.09891858931984 40.55993629816614, -74.09891176867488 40.55994219978503, -74.09890550349174 40.55994845032931, -74.09889982560365 40.55995501825327, -74.09889476094027 40.559961872016224, -74.098872016214 40.56002398017508, -74.0988474584142 40.56008568555322, -74.09882110047924 40.560146957520494, -74.09879295652954 40.56020776634609, -74.09876304068176 40.56026807959765, -74.09873136705954 40.56032786934541, -74.0986979509632 40.56038710495681, -74.09867953675922 40.56042354706072, -74.09866061104397 40.560459834710514, -74.09864117381404 40.5604959661048, -74.09862122860312 40.560531935837126, -74.09860077658446 40.56056773940364, -74.09857982129448 40.5606033731989, -74.09855836390658 40.56063883271896, -74.09854690980895 40.560659883339596, -74.09853698071066 40.560681380212195, -74.09852860839757 40.560703258471996, -74.09852181639043 40.56072545326132, -74.09851662584602 40.56074789792334, -74.0985130520173 40.560770525806255, -74.09851110543174 40.56079326846121, -74.09851627013003 40.56081414723134, -74.09851954359061 40.560835246451326, -74.09852091149664 40.560856467075695, -74.0985203677965 40.56087771005187, -74.09851791469977 40.56089887361844, -74.09851356386747 40.560919859607964, -74.09850733640398 40.56094056804377, -74.09849926050367 40.56096090254498, -74.09848937380572 40.56098076582218, -74.09847772458428 40.561000065979876, -74.09846436701612 40.56101871021684, -74.09844936355273 40.56103661202849, -74.09843278491404 40.561053686704106, -74.09841471009184 40.56106985402852, -74.09839522280686 40.56108503738457, -74.09837441623385 40.561099165550225, -74.09835238827898 40.56111217270248, -74.09832924275645 40.56112399571492, -74.09830508703624 40.5611345804635, -74.09828003675783 40.561143875518596, -74.09825420993707 40.561151839354416, -74.09819550772359 40.561176192053125, -74.09813912416423 40.561203545995, -74.09808532119364 40.56123377218444, -74.09803435128592 40.5612667308281, -74.09798645036511 40.56130226773846, -74.09794184489223 40.56134021612894, -74.09790074242343 40.56138039932332, -74.09786333278913 40.561422629854135, -74.09782979281847 40.56146671035926, -74.09778086377919 40.56152361844186, -74.0977301279094 40.561579599598375, -74.09767761703738 40.56163461957936, -74.09762336063271 40.56168864593838, -74.0975673917078 40.561741646225975, -74.09750974445868 40.56179358979283, -74.09745045189847 40.5618444441894, -74.097320710316 40.5619970438626))",296786,1577.11783268,5,NEW DORP BEACH GREENWAY,OAKWOOD BEACH GREENWAY,NEW DORP LA,OFF,I,I,2,2,Greenway,Greenway
15833,"MULTILINESTRING ((-74.19098588419273 40.51762789553007, -74.19104220132519 40.517753717620714, -74.19119817908984 40.51798278976488, -74.19139979741206 40.51842595521604, -74.19141038315705 40.51844282161405, -74.19141950474659 40.518460179441014, -74.19142712184562 40.51847795402042, -74.19143320237907 40.51849607066209, -74.19143772134387 40.51851445196228, -74.19144065962934 40.51853301780583, -74.19144200285494 40.51855169167174, -74.19144174724462 40.518570391618056, -74.19143989257265 40.518589039298945, -74.1914364468708 40.51860755545432, -74.19143142524837 40.51862585991149, -74.19142484872235 40.518643875189625, -74.19141674657251 40.51866152469454, -74.19140715162396 40.518678733627034, -74.19139610614188 40.518695427172325))",297257,415.602698065,5,WOLFE  S POND PARK TRAIL,IRVINGTON ST,CHISHOLM ST,OFF,I,I,2,2,Dirt Path,Dirt Path
15843,"MULTILINESTRING ((-73.93858976909334 40.76681735949281, -73.93885365565372 40.76684430874881, -73.93891686370867 40.766844381899475, -73.93897990399232 40.766847881344155, -73.9390424555564 40.766854789803844, -73.93910419983689 40.76686507289171, -73.9391648230249 40.766878676413164, -73.93922401487714 40.766895531767915, -73.93928147582393 40.76691555415297, -73.93933691223265 40.766938640758795, -73.93939004351122 40.76696467437518, -73.93940965506519 40.7669762300516, -73.93942996845404 40.76698706118792, -73.93945093869112 40.766997144347116, -73.93947251723672 40.76700645609011, -73.93949465436482 40.76701497477843, -73.93951730034613 40.767022682375554, -73.93954040426767 40.76702955994393, -73.93960995430027 40.767046082846036, -73.93967849199659 40.76706489155555, -73.93974588829566 40.76708594908615, -73.93981201650654 40.767109216651946, -73.93987674994248 40.76713465006428, -73.93993996665785 40.767162200634694, -73.94000154589325 40.76719181697407, -73.94001037192898 40.767194661759305, -73.94001943764613 40.76719702940155, -73.94002870041719 40.767198907271485, -73.94003811287364 40.76720028633945, -73.94004762882813 40.767201161178285, -73.9400572032785 40.76720152546106, -73.94006678648019 40.76720137826135, -73.94007633342366 40.767200721356815, -73.94008579673152 40.767199555623236, -73.94009512783549 40.76719788913999, -73.94010428290562 40.767195729088314, -73.9401132169244 40.767193086250934, -73.94012188487288 40.767189973211536, -73.94023013477178 40.76715886477962, -73.94033699882108 40.76712509994225, -73.94044236564346 40.767088714665725, -73.94054612267566 40.767049747617804, -73.94064816090602 40.7670082401697, -73.9407483713224 40.76696423549416, -73.94084665083216 40.766917780369155, -73.94087354486877 40.76690607591611, -73.9408993137526 40.76689298950657, -73.9409238342496 40.76687858321284, -73.94094698904307 40.76686292451337, -73.94096866791539 40.76684608989538, -73.94098876893744 40.7668281585518, -73.94100719609715 40.76680921598216, -73.94133595472758 40.766420546226435, -73.94134489757352 40.766398293021915, -73.94135186756458 40.766375636287094, -73.94135683145161 40.76635267596134, -73.94135977019593 40.76632951469269, -73.94136066831129 40.76630625603135, -73.94135952333906 40.766283004434584, -73.941356338745 40.7662598616611, -73.94135112983548 40.76623693307745, -73.94134392021164 40.766214319551814, -73.94133474058079 40.76619212195595, -73.94132363349468 40.766170440266954, -73.94131064624578 40.76614937086236, -73.94129583915696 40.76612900742465, -73.9412792784758 40.76610944003734, -73.94126103518896 40.766090756985214, -73.94125587429562 40.766087296418306, -73.94125102393399 40.766083585669456, -73.94124650541032 40.76607963915751, -73.94124233765821 40.766075475802786, -73.94123854079798 40.7660711118247, -73.94123512902402 40.76606656794209, -73.94123211771658 40.7660618630734, -73.9412295210701 40.76605701793756, -73.94122734972566 40.76605205325153, -73.94122561195488 40.766046990631715, -73.94122431721291 40.76604185259555, -73.94122347021896 40.766036659857015, -73.94122307450455 40.76603143673157, -73.94122313123502 40.766026204831874, -73.94122364157468 40.7660209866712, -73.94122460194963 40.76601580566076, -73.94122600878673 40.76601068431132, -73.94122150863386 40.76600203357445, -73.94121626802206 40.76599362829725, -73.94121030705442 40.76598550450998, -73.94120365412546 40.76597769734671, -73.94119633762958 40.76597024194149, -73.94118838951759 40.765963169828055, -73.94117984292454 40.765956512540946, -73.94117073809426 40.76595029891662, -73.9411611129032 40.765944555989485, -73.94115100996707 40.76593930899525, -73.94114047308732 40.76593458136929, -73.9411295484375 40.76593039294613, -73.94111828337616 40.76592676266054, -73.9410998360926 40.76590984536659, -73.94108257620205 40.76589221907961, -73.94106655103735 40.76587393155113, -73.94105180319211 40.7658550323311, -73.94103837407287 40.76583557367047, -73.9410263003478 40.765815608718235, -73.94101561394719 40.765795190620864, -73.94027214994547 40.76552980274065))",297175,1395.27403011,4,RAINEY PARK ESPLANADE,33 RD,35 AV,OFF,I,I,2,2,Greenway,Greenway
15844,"MULTILINESTRING ((-73.93743550102938 40.74920880558682, -73.9373928583815 40.74901474671947, -73.93739653736563 40.74891643954246))",297211,107.513308368,4,QN PLZ,QUEENS BLVD,VERNON BLVD,OFF,I,I,2,2,Greenway,Greenway
15855,"MULTILINESTRING ((-73.88478960315678 40.82823605437242, -73.88390069862479 40.82827015346207))",297538,246.315523756,2,WESTCHESTER AV BR,BRONX RIVER GREENWAY,BRONX RIVER AV,ON,III,III,2,2,Sharrows,Sharrows
15865,"MULTILINESTRING ((-73.88492853960983 40.822888723381645, -73.88501366953729 40.82297709118749))",297541,39.8960510913,2,CONCRETE PARK GREENWAY,BRUCKNER BLVD,WESTCHESTER AV,OFF,I,I,2,2,Greenway,Greenway
15876,"MULTILINESTRING ((-74.16719634796591 40.602075311391395, -74.16738442550286 40.60188944508179, -74.16843005956395 40.5964657002667, -74.16840791243267 40.59607000814358))",297293,2227.03858874,5,FRESHKILLS GREENWAY,ARLENE ST,ARTHUR KILL RD,OFF,I,I,2,2,Greenway,Greenway
15878,"MULTILINESTRING ((-74.0355882774466 40.63976311129304, -74.03554710486219 40.63976400383461, -74.03550610481805 40.63976701973105, -74.035465466446 40.639772143615446, -74.03542537887368 40.63977935201634, -74.03538602294951 40.63978861336063, -74.03534758188056 40.63979988436772, -74.03531023059419 40.63981311275482, -74.03527414164977 40.63982823813528, -74.03523948169159 40.63984519111923, -74.0352064079025 40.63986389331477, -74.03517507273423 40.63988426002782, -74.03514562154065 40.63990619666098, -74.03511818903382 40.63992960231642, -74.03509289928361 40.63995436979601, -74.03506987162866 40.63998038559934, -74.03504921003682 40.640007529927225, -74.03503100901655 40.64003567757997, -74.03501535361809 40.64006470065923, -74.03500231470254 40.64009446406663, -74.03492873854053 40.64018924260601, -74.03484664018833 40.64027986868743, -74.03475642132987 40.6403658991161, -74.0346585250433 40.64044691139643, -74.03455342871099 40.640522509137256, -74.03444164874894 40.640592322951754, -74.0343237311481 40.64065600865949, -74.03420025502584 40.64071325629114, -74.03407182552967 40.64076378558835, -74.03397781595194 40.64083545865711, -74.03387823823337 40.64090262709435, -74.03377346226894 40.64096503863186, -74.03366388043086 40.641022462608014, -74.03354990047144 40.641074681865135, -74.03343194907532 40.64112150445591, -74.03331046357873 40.6411627537398, -74.03318589906691 40.64119827738676, -74.03305872127734 40.64122794107575, -74.03292940187399 40.641251635700286, -74.0327984243557 40.64126927286456, -74.0325596525706 40.64131141384106, -74.03231774184282 40.641341429722736, -74.03207375501366 40.641359188717765, -74.03182876086743 40.641364613973245, -74.03158383176229 40.64135767997367, -74.03134004126571 40.64133841884559, -74.03109845823757 40.64130691315491, -74.0308340523978 40.641265263334915, -74.03057297449708 40.64121282831361, -74.03031598131504 40.64114976190266, -74.03006382017779 40.641076246739104, -74.02981721950025 40.64099249608852, -74.0295768982413 40.64089875294151, -74.02934355053392 40.64079528911658, -74.02916023126342 40.640774915591294))",297299,2036.37026463,3,OWLS HEAD PARK GREENWAY,COLONIAL RD,68 ST,OFF,I,I,2,2,Greenway,Greenway
15946,"MULTILINESTRING ((-73.93138885060533 40.86864851652805, -73.93154395560784 40.86870047861411))",297486,46.8905487463,1,FORT WASHINGTON PARK GREENWAY,FORT WASHINGTON PARK BIKE TRAIL,FORT WASHINGTON PARK,OFF,I,I,2,2,Greenway,Greenway
15955,"MULTILINESTRING ((-73.92780074265181 40.84525528418286, -73.92778459439457 40.845319749353024))",297510,23.9082644626,2,HARLEM RIVER GREENWAY,W 176 ST,EXTERIOR ST,OFF,I,I,2,2,Greenway,Greenway
16009,"MULTILINESTRING ((-74.01660292148038 40.71206606188918, -74.01660541084941 40.71205427384517, -74.01660687534203 40.71204238689284, -74.01660730905421 40.71203045146157, -74.01660670963285 40.71201852068187, -74.01660507827471 40.712006645882646, -74.01660242446061 40.71199487839162, -74.0165987588547 40.711983269536326, -74.01659409685456 40.711971869743, -74.0165884585912 40.71196072763621, -74.016581868929 40.71194989183983, -74.016574357466 40.71193941007649, -74.01656595379917 40.71192932646671, -74.01655669817647 40.711919686030136, -74.01654662729476 40.71191053018478, -74.01653578731757 40.7119018985462, -74.01578577480306 40.71156888060505))",297699,305.985736568,1,NORTH COVE,LIBERTY ST,BATTERY PARK CITY GREENWAY,OFF,I,I,2,2,Greenway,Greenway
16013,"MULTILINESTRING ((-73.9131523511742 40.799899463029284, -73.91370926946871 40.79957403548128))",297704,194.506208688,2,RANDALLS ISLAND CONNECTOR,RANDALLS ISLAND GREENWAY,E 132 ST,OFF,I,I,2,2,Greenway,Greenway
16016,"MULTILINESTRING ((-73.92640962646445 40.85356656118236, -73.92576233721208 40.853970899347146))",297707,231.876958283,1,HIGHBRIDGE PARK TRAIL,W 189 ST,DYCKMAN ST,OFF,I,I,2,2,Dirt Path,Dirt Path
16020,"MULTILINESTRING ((-73.99910222918433 40.69598645324166, -73.99833410611926 40.69580164239997))",297770,223.387876988,3,MONTAGUE ST,FURMAN ST,BROOKLYN BRIDGE PARK GREENWAY,ON,II,II,R,1,Curbside,
16034,"MULTILINESTRING ((-73.86398994726521 40.889777175129986, -73.86295538763544 40.891667830606714, -73.86295920223522 40.89166918316302, -73.8629628835245 40.891670733667816, -73.86296641371695 40.891672475796724, -73.86296977384318 40.89167440142273, -73.86297294968608 40.8916764997232, -73.86297592346469 40.891678761672196, -73.86297868215037 40.89168117554795, -73.86298121271234 40.89168373052908, -73.86298350094091 40.89168641219109, -73.86298553617861 40.89168920971547, -73.86298731015053 40.89169210778412, -73.86298881220492 40.891695092877114, -73.86299003644017 40.89169814967921, -73.86299097576426 40.89170126467477, -73.86299162546412 40.89170442164939, -73.86299198438454 40.89170760529343, -73.86299204781062 40.89171080029306, -73.86299181814708 40.891713991342904, -73.86299129424248 40.8917171613323, -73.86299048087116 40.891720296759694, -73.86298938043977 40.891723381419084, -73.86298799891475 40.89172639910887, -73.86298634225527 40.891729337229314, -73.86242335380972 40.89276581939019))",297739,1181.10282705,2,SHOELACE PARK GREENWAY,E 211 ST,E 229 ST,OFF,I,I,2,2,Greenway,Greenway
16051,"MULTILINESTRING ((-74.01956917455514 40.650561054863914, -74.01942072388883 40.65051775613066, -74.01928150302469 40.650471318255676, -74.01913617755709 40.6504152826118))",298237,131.483684623,3,BUSH TERMINAL GREENWAY,1 Avenue,Bush Terminal Park,OFF,I,I,2,2,Greenway,Greenway
